Theme,Behavior Description,Green Flag ,Red Flag ,Example,Impact ,Action Steps 
Trust,"Healthy communication involves active listening—focusing on the other person’s words, tone, and body language. A red flag arises when someone consistently talks over you or invalidates what you’re expressing, leaving you feeling unheard.",Keeps their promises and always follows through.,Cancels plans or breaks promises way too often without a good reason.,They promise to help you move but cancel last minute without a good reason.,"Consistent unreliability undermines trust, leaving you feeling unsupported and questioning their priorities.","Communicate Clearly
Address the pattern calmly and express how it makes you feel.
Example: “I’ve noticed plans keep falling through, and it’s disappointing because I value spending time together.”

Set Expectations
Share what you need moving forward.
Example: “I understand things come up, but consistency is important to me. If plans change, I’d appreciate more notice or effort to reschedule.”

Observe & Decide
Watch for changes in their behavior. If they continue breaking promises without valid reasons, evaluate if this aligns with your standards and what you want in a relationship."
Trust,Transparency builds a foundation of trust. A partner who withholds information or evades questions might create doubts about their honesty.,Shares their thoughts and feelings like an open book.,"Keeps secrets or leaves out important details, even when asked.",They fail to mention they had lunch with an ex when you asked about their day.,"Lack of transparency breeds insecurity and suspicion, making it hard to feel secure in the relationship.","Communicate Clearly
Address the pattern calmly and explain how it makes you feel.
Example: “I’ve noticed you sometimes leave out important details, and it makes me feel like I can’t fully trust what’s being shared. Trust is really important to me.”

Set Expectations
Share what you need moving forward and ask for their commitment to change.
Example: “I need us to be open and honest with each other, especially when it comes to things that matter. Can you commit to being more upfront with me?”

Observe & Decide
Pay attention to their actions after the conversation. If the behavior continues, consider whether this aligns with your needs and boundaries in a relationship.
Example: “If this keeps happening, it’s going to be hard for me to feel secure in this relationship. I want us to work on building trust together.”"
Trust,Honesty includes being truthful in small and big matters. A partner who avoids uncomfortable truths might prioritize their comfort over the relationship’s integrity.,"Speaks the truth, even when it’s tough to say.",Tells little lies or avoids the truth just to dodge conflict.,They say they’re stuck at work but were actually out with friends.,"Even small lies erode trust, planting seeds of doubt about their integrity and intentions.","Communicate Clearly
Address the pattern calmly and express how it makes you feel.
Example: ""I’ve noticed that sometimes you tell small lies or avoid the truth, and it makes me feel like I can’t fully trust what’s being shared. Honesty is really important to me.""

Set Expectations
Share what you need moving forward.
Example: ""I understand that conflict can be uncomfortable, but I’d rather hear the truth, even if it’s hard. Can you commit to being upfront with me, even when it feels awkward?""

Observe & Decide
Watch for changes in their behavior. If the pattern continues, evaluate whether their actions align with your needs for trust and honesty.
Example: ""If this keeps happening, I’ll need to think about whether this relationship can grow without the openness I value."""
Trust,Trust grows when partners own their actions. Avoiding accountability signals immaturity and an unwillingness to address issues constructively.,Owns up to their mistakes like a grown-up.,Blames everyone else instead of owning up to mistakes.,They blame you for not reminding them about an important event they missed.,"Without accountability, problems remain unresolved, leaving you to feel frustrated and unheard.","Communicate Clearly
Address the pattern calmly and express how it makes you feel.
Example: ""I’ve noticed that when things go wrong, you often blame others instead of taking responsibility. It makes me feel frustrated because accountability is important to building trust.""

Set Expectations
Share what you need moving forward.
Example: ""I need us to be able to take ownership of our actions in this relationship. Can we agree to focus on accountability instead of shifting blame?""

Observe & Decide
Watch for changes in their behavior. If they continue avoiding responsibility, evaluate whether this aligns with your standards for mutual respect and growth.
Example: ""If this keeps happening, I’ll need to reassess whether we can build a partnership based on trust and shared responsibility."""
Trust,"A dependable partner shows up during challenging times, not just when things are easy. Failing to be present during hardship shows emotional unavailability.",Shows up for you when life gets messy.,Brushes off your struggles when you need someone to lean on.,"You share your work stress, and they respond with, ""You’re overreacting again.""",Emotional neglect during tough times creates a sense of isolation and weakens the bond.,"Communicate Clearly
Address the pattern calmly and express how it makes you feel.
Example: ""I’ve noticed that when I share something I’m struggling with, it sometimes feels like it’s brushed off. It makes me feel unsupported, and I really value being able to lean on each other.""

Set Expectations
Share what you need moving forward.
Example: ""I need to feel like we can have open and supportive conversations, especially during tough times. Can we work on being more present and empathetic when one of us is struggling?""

Observe & Decide
Watch for changes in their behavior. If they continue dismissing your struggles, evaluate whether this relationship provides the emotional support you need.
Example: ""If I keep feeling like I can’t lean on you when I need to, it will make it hard for me to feel secure in this relationship."""
Trust,Trust thrives when boundaries are respected. Disregarding limits shows a lack of respect and prioritizes their desires over your comfort.,Respects your boundaries like a total pro.,Pushes or ignores your boundaries like they don’t matter.,"You ask for space, and they show up at your house uninvited.",Ignoring boundaries creates emotional discomfort and erodes trust in their respect for your autonomy.,"Communicate Clearly
Address the pattern calmly and express how it makes you feel.
Example: ""I’ve noticed that when I set a boundary, it sometimes feels like it’s pushed or ignored. This makes me feel disrespected because my boundaries are important to me.""

Set Expectations
Share what you need moving forward.
Example: ""I need us to respect each other’s boundaries for this relationship to feel safe and supportive. Can you commit to honoring the boundaries I set moving forward?""

Observe & Decide
Watch for changes in their behavior. If they continue to ignore or push your boundaries, evaluate whether this relationship aligns with your need for mutual respect and emotional safety.
Example: ""If my boundaries keep being ignored, it will make it hard for me to feel comfortable continuing this relationship."""
Trust,"Financial transparency is crucial, especially in long-term partnerships. Hidden spending can signal deeper issues of trust or control.",Keeps it real when it comes to money matters.,Hides financial decisions or spending habits from you.,They spend a large amount of money but don’t tell you until you notice.,"Financial secrecy can lead to tension, resentment, and a lack of mutual security.","Communicate Clearly
Address the pattern calmly and express how it makes you feel.
Example: ""I’ve noticed that financial decisions or spending habits are sometimes hidden from me, and it makes me feel like we’re not being fully transparent. This is concerning because trust is important when it comes to finances.""

Set Expectations
Share what you need moving forward.
Example: ""I need us to be open about financial decisions, especially if they impact both of us. Can we agree to have honest conversations about spending and financial goals?""

Observe & Decide
Watch for changes in their behavior. If they continue hiding financial matters, evaluate whether this aligns with your standards for transparency and trust in the relationship.
Example: ""If financial decisions are kept secret, it will make it hard for me to feel secure in building a future together."""
Trust,Consistency allows you to feel safe and secure. Erratic behavior creates emotional turbulence and uncertainty.,Is steady and reliable—no rollercoaster vibes.,"Acts unpredictably, leaving you unsure of what’s coming next.",They’re cheerful one moment and moody the next without explanation.,Emotional inconsistency fosters anxiety and prevents the relationship from feeling stable.,"1. Say, 'I need to feel like I know where I stand with you, even when you’re having a tough day.'
2. Encourage them to communicate their feelings openly rather than withdrawing or lashing out."
Trust,Loyalty means standing by your partner and protecting their reputation. Speaking poorly of them undermines trust and respect.,Has your back in public and behind the scenes.,Talks badly about you behind your back.,They complain about you to mutual friends behind your back.,"Disloyalty creates division and embarrassment, making it hard to feel secure in their support.","1. Request, 'Let’s keep private matters between us unless we agree otherwise.'
2. Observe whether they respect this boundary moving forward."
Trust,Trust includes giving your partner the benefit of the doubt. Constant accusations reflect insecurity and lack of trust.,Trusts your truth without playing detective.,Constantly questions your motives or accuses you of dishonesty.,They frequently accuse you of lying without any evidence.,"Unfounded suspicion breeds resentment and discourages openness, creating a toxic cycle.","1. Reassure them: 'I need you to trust me when I say something is true.'
2. Encourage them to reflect on why they feel insecure and seek outside help if needed."
